id;price;msrp_price;original_price;good_offer;seller_rating;seller_count_rating;car_rate;consumers_review;mileage;n_photos
765720844.html;25000;;25500;Good Deal;4.8;236;4.8;49 reviews;46,069;25
751964762.html;24258;28125;;;4.9;212;4.9;50 reviews;5;32
759593992.html;20326;25100;;;5;251;4.9;37 reviews;3;32
765273237.html;48902;50470;;;4.9;482;4.5;42 reviews;1;22
752059152.html;40766;42625;;;4.9;53;4.7;42 reviews;8;25
758136574.html;51966;;;Fair Price;5;251;4.7;79 reviews;53,385;55
760926785.html;23940;;;Great Deal;4.7;359;4.7;71 reviews;24,842;54
765976120.html;17495;;17995;Great Deal;4.8;1086;4.5;217 reviews;41,391;42
759805190.html;27590;;;Good Deal;4.9;475;4.6;217 reviews;97,664;23
749673330.html;17494;;17994;Great Deal;4.8;1086;4.8;85 reviews;31,303;39
764099730.html;24977;;25477;Good Deal;4.7;359;4.8;45 reviews;22,567;53
767251357.html;16493;;;Good Deal;4.8;1125;4.2;99 reviews;72,135;40
758684793.html;37225;37225;;;5;932;4.7;82 reviews;11;13
749065466.html;33275;34025;;;4.5;761;4.6;35 reviews;;32
766155908.html;60130;;;;4.9;482;4.7;23 reviews;5;18
